Week,SPY_Flow,VOO_Flow,Comb_Flow,SPXTR,SPXTR_Ret
3/29/2019,2623.6349,-31.7341,2591.9008,3312.9121,0.012325644
4/5/2019,400.562,75.41518,475.97718,3382.0562,0.020871094
4/12/2019,5672.721,823.0263,6495.7473,3400.9734,0.005593402
4/19/2019,-2083.967,314.2593,-1769.7077,3398.6871,-0.000672249
4/26/2019,-2879.8674,-77.29673,-2957.16413,3439.8319,0.012106086
5/3/2019,-695.4934,446.975787,-248.517613,3447.3384,0.002182229
5/10/2019,-7536.615,-329.6419,-7866.2569,3374.8904,-0.021015633
5/17/2019,-131.865,211.9491,80.0841,3351.7579,-0.006854297
5/24/2019,41.438,-82.5095,-41.0715,3313.5707,-0.011393186
5/31/2019,-4320.232,71.8512,-4248.3808,3227.9934,-0.025826309
6/7/2019,4529.849,679.4885,5209.3375,3372.0965,0.044641696
6/14/2019,1806.148,271.04771,2077.19571,3389.8177,0.005255247
6/21/2019,-5805.189,880.7945,-4924.3945,3465.0276,0.022187004
6/28/2019,3229.996,656.371,3886.367,3455.4932,-0.002751609
7/5/2019,2415.0174,-573.9726,1841.0448,3514.0137,0.016935499
7/12/2019,4229.1015,815.723,5044.8245,3542.9386,0.0082313
7/19/2019,-1519.326,422.9256,-1096.4004,3499.9151,-0.012143451
7/26/2019,-818.07,352.21865,-465.85135,3558.1793,0.016647318
8/2/2019,-3876.4,995.1848,-2881.2152,3448.9801,-0.030689628
8/9/2019,-5150.4,924.462,-4225.938,3435.1546,-0.004008576
8/16/2019,-1660.502,250.5618,-1409.9402,3402.8103,-0.009415675
8/23/2019,-14.4634,227.7073,213.2439,3354.5326,-0.014187597
8/30/2019,764.827,253.81408,1018.64108,3449.6361,0.028350745
9/6/2019,1501.899,-90.77032,1411.12868,3512.7064,0.018283175
9/13/2019,10656.81,558.6226,11215.4326,3548.6377,0.010228951
9/20/2019,-8668.1798,-6.328,-8674.5078,3531.0808,-0.004947504
9/27/2019,4407.347,293.19775,4700.54475,3496.3466,-0.009836705
