Date,USDX_Close
1/2/09,81.839996
1/4/09,null
1/5/09,82.639999
1/6/09,82.849998
1/7/09,82.279999
1/8/09,81.540001
1/9/09,82.660004
1/11/09,null
1/12/09,83.019997
1/13/09,84.269997
1/14/09,84.419998
1/15/09,84.440002
1/16/09,84.209999
1/18/09,null
1/20/09,86.220001
1/21/09,85.82
1/22/09,85.519997
1/23/09,85.610001
1/25/09,null
1/26/09,84.730003
1/27/09,84.43
1/28/09,84.669998
1/29/09,85.279999
1/30/09,86
2/1/09,null
2/2/09,86.07
2/3/09,85.050003
2/4/09,85.699997
2/5/09,86.059998
2/6/09,85.349998
2/8/09,null
2/9/09,84.790001
2/10/09,85.809998
2/11/09,85.779999
2/12/09,86.550003
2/13/09,86.040001
2/15/09,null
2/17/09,87.580002
2/18/09,88.010002
2/19/09,87.440002
2/20/09,86.489998
2/22/09,null
2/23/09,87.239998
2/24/09,86.889999
2/25/09,87.910004
2/26/09,87.730003
2/27/09,88.010002
3/1/09,null
3/2/09,88.940002
3/3/09,88.910004
3/4/09,88.580002
3/5/09,89.110001
3/6/09,88.510002
3/8/09,null
3/9/09,89.010002
3/10/09,88.93
3/11/09,87.870003
3/12/09,87.660004
3/13/09,87.43
3/15/09,null
3/16/09,86.949997
3/17/09,86.93
3/18/09,84.599998
3/19/09,83.129997
3/20/09,83.839996
3/22/09,null
3/23/09,83.43
3/24/09,83.860001
3/25/09,83.809998
3/26/09,84.169998
3/27/09,85.110001
3/29/09,null
3/30/09,85.870003
3/31/09,85.43
4/1/09,85.5
4/2/09,84.449997
4/3/09,84.169998
4/5/09,null
4/6/09,84.57
4/7/09,85.290001
4/8/09,85.360001
4/9/09,85.790001
4/12/09,null
4/13/09,84.639999
4/14/09,84.639999
4/15/09,85.080002
4/16/09,85.230003
4/17/09,85.980003
4/19/09,null
4/20/09,86.639999
4/21/09,86.580002
4/22/09,86.190002
4/23/09,85.519997
4/24/09,84.709999
4/26/09,null
4/27/09,85.699997
4/28/09,85.160004
4/29/09,84.470001
4/30/09,84.610001
5/1/09,84.550003
5/3/09,null
5/4/09,83.970001
5/5/09,84.160004
5/6/09,83.800003
5/7/09,83.940002
5/8/09,82.529999
5/10/09,null
5/11/09,82.68
5/12/09,82.309998
5/13/09,82.5
5/14/09,82.279999
5/15/09,83.019997
5/17/09,null
5/18/09,82.669998
5/19/09,81.980003
5/20/09,80.989998
5/21/09,80.559998
5/22/09,79.959999
5/24/09,null
5/26/09,80.129997
5/27/09,80.330002
5/28/09,80.43
5/29/09,80.43
5/31/09,null
6/1/09,79.169998
6/2/09,78.400002
6/3/09,79.5
6/4/09,79.410004
6/5/09,80.669998
6/7/09,null
6/8/09,80.910004
6/9/09,79.790001
6/10/09,80.330002
6/11/09,79.410004
6/12/09,80.139999
6/14/09,null
6/15/09,81.139999
6/16/09,80.709999
6/17/09,80.169998
6/18/09,80.610001
6/19/09,80.260002
6/21/09,null
6/22/09,80.779999
6/23/09,79.839996
6/24/09,80.559998
6/25/09,80.400002
6/26/09,79.879997
6/28/09,null
6/29/09,79.839996
6/30/09,80.129997
7/1/09,79.629997
7/2/09,80.150002
7/5/09,null
7/6/09,80.449997
7/7/09,80.620003
7/8/09,80.769997
7/9/09,79.860001
7/10/09,80.230003
7/12/09,null
7/13/09,80.129997
7/14/09,80.18
7/15/09,79.32
7/16/09,79.220001
7/17/09,79.349998
7/19/09,null
7/20/09,78.910004
7/21/09,78.93
7/22/09,78.709999
7/23/09,78.800003
7/24/09,78.75
7/26/09,null
7/27/09,78.629997
7/28/09,78.849998
7/29/09,79.629997
7/30/09,79.290001
7/31/09,78.349998
8/2/09,null
8/3/09,77.639999
8/4/09,77.769997
8/5/09,77.519997
8/6/09,78.07
8/7/09,78.970001
8/9/09,null
8/10/09,79.260002
8/11/09,79.18
8/12/09,78.790001
8/13/09,78.489998
8/14/09,78.889999
8/16/09,null
8/17/09,79.290001
8/18/09,78.940002
8/19/09,78.470001
