Timestamp,Libor 1Y,JPY,EUR,SPX,VIX,1Y OIS,Positioning,lev Positioning,Signal
6/12/2020,0.304,0.9315,0.88845,3041.31,36.09,0.052,#N/A,#N/A,3351420265
6/11/2020,0.315,0.9358,0.88505,3002.1,40.79,0.058,#N/A,#N/A,-3770410608
6/10/2020,0.296,0.93365,0.87945,3190.14,27.57,0.038,#N/A,#N/A,-2058964646
6/9/2020,0.317,0.9282,0.88195,3207.18,27.57,0.052,118066,-76634,-2811003741
6/8/2020,0.316,0.92225,0.88545,3232.39,25.81,0.054,#N/A,#N/A,2334141423
6/5/2020,0.306,0.9125,0.88605,3193.93,24.52,0.049,#N/A,#N/A,4266161611
6/4/2020,0.301,0.9163,0.88195,3112.35,25.81,0.043,#N/A,#N/A,-1471261147
6/3/2020,0.302,0.9183,0.89015,3122.87,25.66,0.037,#N/A,#N/A,3119102976
6/2/2020,0.289,0.92015,0.89515,3080.82,26.84,0.028,103972,-75449,1739658760
6/1/2020,0.288,0.92945,0.89805,3055.73,28.23,0.023,#N/A,#N/A,1290493586
5/29/2020,0.292,0.9275,0.901,3044.31,27.51,0.025,#N/A,#N/A,342760799.2
5/28/2020,0.299,0.9288,0.90275,3029.73,28.59,0.035,#N/A,#N/A,-2476987346
5/27/2020,0.304,0.9283,0.90865,3036.13,27.62,0.036,#N/A,#N/A,37580141.09
5/26/2020,0.313,0.92985,0.9106,2991.77,28.01,0.036,108740,-75117,180082371.5
5/25/2020,0.307,0.92845,0.9174,#N/A,#N/A,#N/A,#N/A,#N/A,1512070571
5/22/2020,0.306,0.9291,0.91735,2955.45,28.16,0.03,#N/A,#N/A,1016183833
5/21/2020,0.298,0.9292,0.9132,2948.51,29.53,0.033,#N/A,#N/A,-1116818001
5/20/2020,0.29,0.93,0.91085,2971.61,27.99,0.033,#N/A,#N/A,2703555655
5/19/2020,0.301,0.92845,0.9155,2922.94,30.53,0.042,96156,-62485,-815032283.3
5/18/2020,0.319,0.93175,0.9164,2953.91,29.3,0.042,#N/A,#N/A,2510101970
5/15/2020,0.3,0.93425,0.92455,2863.7,31.89,0.029,#N/A,#N/A,-649220295.1
5/14/2020,0.306,0.93235,0.9255,2852.5,32.61,0.029,#N/A,#N/A,5460072390
5/13/2020,0.319,0.9343,0.92445,2820,35.28,0.03,#N/A,#N/A,-837018946.5
5/12/2020,0.332,0.9333,0.92185,2870.12,33.04,0.026,104258,-55333,-3214559024
5/11/2020,0.319,0.92875,0.92525,2930.32,27.57,0.027,#N/A,#N/A,-622307107.8
5/8/2020,0.315,0.9375,0.92245,2929.8,27.98,0.025,#N/A,#N/A,-225409627.1
5/7/2020,0.302,0.94085,0.923,2881.19,31.44,0.009,#N/A,#N/A,848254312.3
5/6/2020,0.338,0.94205,0.92635,2848.42,34.12,0.033,#N/A,#N/A,-410212045.2
5/5/2020,0.357,0.93805,0.9228,2868.44,33.61,0.041,98505,-52708,643520141.3
5/4/2020,0.356,0.9368,0.91675,2842.74,35.97,0.039,#N/A,#N/A,3472278388
5/1/2020,0.372,0.93535,0.91065,2830.71,37.19,0.048,#N/A,#N/A,3040122879
4/30/2020,0.365,0.93295,0.91265,2912.43,34.15,0.044,#N/A,#N/A,779719497.8
4/29/2020,0.395,0.93705,0.91955,2939.51,31.23,0.05,#N/A,#N/A,2436309513
4/28/2020,0.429,0.93565,0.9242,2863.39,33.57,0.065,118331,-52242,149269255
4/27/2020,0.464,0.93255,0.92335,2878.48,33.29,0.067,#N/A,#N/A,116498983.8
4/24/2020,0.48,0.9301,0.92405,2836.74,35.93,0.066,#N/A,#N/A,2287776244
4/23/2020,0.517,0.9294,0.9278,2797.8,41.38,0.069,#N/A,#N/A,418645773.7
4/22/2020,0.532,0.9281,0.92395,2799.31,41.98,0.072,#N/A,#N/A,1329953079
4/21/2020,0.543,0.92785,0.92095,2736.56,45.41,0.07,112648,-36599,-3508725778
4/20/2020,0.561,0.92915,0.92055,2823.16,43.83,0.07,#N/A,#N/A,-556574004.8
4/17/2020,0.556,0.93,0.91965,2874.56,38.15,0.073,#N/A,#N/A,921901115.5
4/16/2020,0.555,0.9263,0.92275,2799.55,40.11,0.069,#N/A,#N/A,1349604102
4/15/2020,0.542,0.93035,0.91665,2783.36,40.84,0.073,#N/A,#N/A,2161289198
4/14/2020,0.569,0.9327,0.91065,2846.06,37.76,0.078,116784,-46634,1407916423
4/13/2020,0.601,0.92785,0.91625,2761.63,41.17,0.081,#N/A,#N/A,3576102598
4/10/2020,0.612,0.92215,0.9144,#N/A,#N/A,0.072,#N/A,#N/A,#N/A
4/9/2020,0.612,0.92185,0.915,2789.82,41.67,0.072,#N/A,#N/A,-261341425.9
4/8/2020,0.67,0.9189,0.92095,2749.98,43.35,0.081,#N/A,#N/A,1036505832
4/7/2020,0.679,0.91965,0.9182,2659.41,46.7,0.076,90854,-26468,-3406540621
4/6/2020,0.657,0.91555,0.92655,2663.68,45.24,0.079,#N/A,#N/A,5077880279
4/3/2020,0.639,0.92195,0.92515,2488.65,46.8,0.075,#N/A,#N/A,-799284970.7
4/2/2020,0.626,0.92665,0.92095,2526.9,50.91,0.079,#N/A,#N/A,2104788864
4/1/2020,0.662,0.9331,0.91205,2470.5,57.06,0.07,#N/A,#N/A,-1548030743
3/31/2020,0.658,0.92985,0.90655,2584.59,53.54,0.069,96288,-24318,2846292590
3/30/2020,0.677,0.92745,0.90505,2626.65,57.08,0.074,#N/A,#N/A,4083336193
3/27/2020,0.7,0.92675,0.8975,2541.47,65.54,0.058,#N/A,#N/A,187643644.9
3/26/2020,0.673,0.91245,0.90665,2630.07,61,0.067,#N/A,#N/A,3002724818
3/25/2020,0.665,0.8992,0.91895,2475.56,63.95,0.081,#N/A,#N/A,6396196444
3/24/2020,0.642,0.8991,0.92685,2447.33,61.67,0.089,68269,-760,795751915.4
3/23/2020,0.617,0.89915,0.93255,2237.4,61.59,0.083,#N/A,#N/A,6608850150
3/20/2020,0.631,0.9024,0.935,2304.92,66.04,0.092,#N/A,#N/A,4067528287
3/19/2020,0.727,0.90325,0.9353,2409.39,72,0.12,#N/A,#N/A,-1391124006
3/18/2020,0.656,0.9253,0.91615,2398.1,76.45,0.118,#N/A,#N/A,2107101031
3/17/2020,0.593,0.92865,0.90935,2529.19,75.91,0.143,67380,8363,4119075962
3/16/2020,0.5,0.9446,0.89425,2386.13,82.69,0.109,#N/A,#N/A,1858486205
3/13/2020,0.546,0.92655,0.9004,2711.02,57.83,0.144,#N/A,#N/A,-5532426367
3/12/2020,0.507,0.9556,0.89405,2480.64,75.47,0.111,#N/A,#N/A,-4415815721
3/11/2020,0.513,0.9565,0.88735,2741.38,53.9,0.156,#N/A,#N/A,-899220743.5
3/10/2020,0.583,0.94655,0.8865,2882.23,47.3,0.277,108476,-20643,2828981436
3/9/2020,0.522,0.97695,0.87345,2746.56,54.46,0.202,#N/A,#N/A,6847511274
3/6/2020,0.696,0.94955,0.88605,2972.37,41.94,0.34,#N/A,#N/A,2028419130
3/5/2020,0.742,0.94195,0.88965,3023.94,39.62,0.402,#N/A,#N/A,357624753
3/4/2020,0.785,0.92995,0.89795,3130.12,31.99,0.532,#N/A,#N/A,6682383517
3/3/2020,0.879,0.9334,0.89505,3003.37,36.82,0.567,130009,-10187,-4369588985
3/2/2020,1.056,0.92325,0.89815,3090.23,33.42,0.842,#N/A,#N/A,5170328829
2/28/2020,1.151,0.9252,0.9069,2954.22,40.11,0.911,#N/A,#N/A,5914935062
2/27/2020,1.269,0.91245,0.9091,2978.76,39.16,1.045,#N/A,#N/A,-3628580320
2/26/2020,1.363,0.9056,0.91905,3116.39,27.56,1.179,#N/A,#N/A,-5176211660
2/25/2020,1.407,0.9074,0.91905,3128.21,27.85,1.229,176873,-19548,-1786852078
2/24/2020,1.429,0.90315,0.9213,3225.89,25.03,1.248,#N/A,#N/A,-3313236070
2/21/2020,1.505,0.8962,0.9221,3337.75,17.08,1.332,#N/A,#N/A,-3055704109
2/20/2020,1.546,0.89185,0.9273,3373.23,15.56,1.372,#N/A,#N/A,-655541571.6
2/19/2020,1.578,0.89795,0.9254,3386.15,14.38,1.399,#N/A,#N/A,3787831244
2/18/2020,1.565,0.9101,0.9266,3370.29,14.83,1.384,222832,-43724,-698482419.8
2/17/2020,1.587,0.91005,0.9229,#N/A,#N/A,#N/A,#N/A,#N/A,979009582
2/14/2020,1.582,0.9111,0.9232,3380.16,13.68,1.407,#N/A,#N/A,2754937628
2/13/2020,1.588,0.91065,0.9224,3373.94,14.15,1.418,#N/A,#N/A,786859129.1
2/12/2020,1.602,0.90835,0.9197,3379.45,13.74,1.43,#N/A,#N/A,2114826512
2/11/2020,1.581,0.91085,0.9161,3357.75,15.18,1.412,218412,-54272,-2064970740
2/10/2020,1.562,0.91095,0.9165,3352.09,15.04,1.394,#N/A,#N/A,5339474235
2/7/2020,1.591,0.9113,0.91365,3327.71,15.47,1.413,#N/A,#N/A,125125180.3
2/6/2020,1.629,0.90915,0.9107,3345.78,14.96,1.444,#N/A,#N/A,-325657630.3
2/5/2020,1.632,0.9106,0.90915,3334.69,15.15,1.444,#N/A,#N/A,2692118413
2/4/2020,1.614,0.91305,0.9055,3297.59,16.05,1.42,209569,-43068,3410425443
2/3/2020,1.573,0.9201,0.90415,3248.92,17.97,1.375,#N/A,#N/A,-726956927.8
1/31/2020,1.55,0.92255,0.9014,3225.52,18.84,1.342,#N/A,#N/A,-4750379400
1/30/2020,1.623,0.91775,0.90645,3283.66,15.49,1.415,#N/A,#N/A,389590996.9
1/29/2020,1.626,0.9174,0.90815,3273.4,16.39,1.424,#N/A,#N/A,-4104810483
1/28/2020,1.654,0.9162,0.90725,3276.24,16.28,1.441,207175,-42896,1730539172
1/27/2020,1.634,0.91835,0.9075,3243.63,18.23,1.415,#N/A,#N/A,-9529591641
1/24/2020,1.675,0.91515,0.90705,3295.47,14.56,1.461,#N/A,#N/A,-1163107897
1/23/2020,1.687,0.9133,0.90465,3325.54,12.98,1.47,#N/A,#N/A,3230959886
1/22/2020,1.699,0.9104,0.90145,3321.75,12.91,1.48,#N/A,#N/A,2077054402
1/21/2020,1.705,0.9101,0.9022,3320.79,12.85,1.482,217231,-48401,-1650547217
1/20/2020,1.723,0.90755,0.9013,#N/A,#N/A,#N/A,#N/A,#N/A,674469941.8
1/17/2020,1.73,0.9078,0.90175,3329.62,12.1,1.506,#N/A,#N/A,-2207312182
1/16/2020,1.725,0.9078,0.8979,3316.81,12.32,1.497,#N/A,#N/A,2058235159
1/15/2020,1.727,0.9099,0.89675,3289.29,12.42,1.498,#N/A,#N/A,4410207023
1/14/2020,1.728,0.90915,0.89855,3283.15,12.39,1.496,215821,-45681,1995497743
1/13/2020,1.731,0.9096,0.89805,3288.13,12.32,1.498,#N/A,#N/A,3511369618
1/10/2020,1.721,0.91345,0.89915,3265.35,12.56,1.489,#N/A,#N/A,-1832918841
1/9/2020,1.729,0.9131,0.9004,3274.7,12.54,1.493,#N/A,#N/A,1240130387
1/8/2020,1.73,0.9163,0.90045,3253.05,13.45,1.497,#N/A,#N/A,2375505130
1/7/2020,1.721,0.9224,0.89655,3237.18,13.79,1.476,203346,-40859,-790484203.5
1/6/2020,1.718,0.9227,0.893,3246.28,13.85,1.476,#N/A,#N/A,1691057356
1/3/2020,1.723,0.9251,0.8959,3234.85,14.02,1.481,#N/A,#N/A,-3617613029
1/2/2020,1.759,0.9211,0.895,3257.85,12.47,1.504,#N/A,#N/A,5437824690
1/1/2020,1.775,0.91995,0.8919,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12/31/2019,1.774,0.9206,0.8919,3230.78,13.78,1.518,202591,-40404,2235570761
12/30/2019,1.767,0.9185,0.89295,3221.29,14.82,1.507,#N/A,#N/A,-2003089643
12/27/2019,1.782,0.91385,0.89475,3240.02,13.43,1.503,#N/A,#N/A,-1557485902
12/26/2019,1.803,0.9121,0.90105,3239.91,12.65,1.514,#N/A,#N/A,2430586799
12/25/2019,1.801,0.91445,0.90165,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12/24/2019,1.801,0.91415,0.9019,3223.38,12.67,1.503,211303,-41935,913328546.2
12/23/2019,1.805,0.9141,0.90185,3224.01,12.61,1.518,#N/A,#N/A,407980300
12/20/2019,1.796,0.9137,0.9026,3221.22,12.51,1.509,#N/A,#N/A,3616812405
12/19/2019,1.784,0.91425,0.89915,3205.37,12.5,1.5,#N/A,#N/A,677471351.5
12/18/2019,1.78,0.91295,0.89985,3191.14,12.58,1.502,#N/A,#N/A,27396117.55
12/17/2019,1.771,0.9134,0.89685,3192.52,12.29,1.495,176822,-35474,-2115178542
12/16/2019,1.768,0.9132,0.89735,3191.45,12.14,1.499,#N/A,#N/A,3096557494
12/13/2019,1.745,0.9143,0.8992,3168.8,12.63,1.472,#N/A,#N/A,1453134417
12/12/2019,1.767,0.91485,0.89845,3168.57,13.94,1.493,#N/A,#N/A,2517634391
12/11/2019,1.731,0.9212,0.89845,3141.63,14.99,1.46,#N/A,#N/A,386720395.5
12/10/2019,1.743,0.9199,0.9015,3132.52,15.68,1.472,179281,-48834,2936790969
12/9/2019,1.73,0.92115,0.90385,3135.96,15.86,1.459,#N/A,#N/A,-1230928379
12/6/2019,1.731,0.92075,0.90425,3145.91,13.62,1.457,#N/A,#N/A,1165671698
12/5/2019,1.713,0.91945,0.90055,3117.43,14.52,1.44,#N/A,#N/A,1413865083
12/4/2019,1.708,0.91855,0.9027,3112.76,14.8,1.436,#N/A,#N/A,3296414847
12/3/2019,1.69,0.9205,0.90225,3093.2,15.96,1.418,170093,-47124,745602921.8
12/2/2019,1.741,0.91745,0.9026,3113.87,14.91,1.458,#N/A,#N/A,-1720018631
11/29/2019,1.74,0.91315,0.9077,3140.98,12.62,1.447,#N/A,#N/A,-2484164576
11/28/2019,1.754,0.9131,0.90835,#N/A,#N/A,#N/A,#N/A,#N/A,-670424274.5
11/27/2019,1.756,0.91275,0.9092,3153.63,11.75,1.46,#N/A,#N/A,2970786473
11/26/2019,1.73,0.91705,0.90745,3140.52,11.54,1.447,181261,-59208,2108569830
11/25/2019,1.742,0.91815,0.90795,3133.64,11.87,1.453,#N/A,#N/A,5656853675
11/22/2019,1.731,0.92035,0.9071,3110.29,12.34,1.43,#N/A,#N/A,496306904.5
11/21/2019,1.714,0.92045,0.9043,3103.54,13.13,1.427,#N/A,#N/A,-506532556.9
11/20/2019,1.696,0.9207,0.9031,3108.46,12.78,1.413,#N/A,#N/A,-3690704574
11/19/2019,1.709,0.92125,0.9026,3120.18,12.86,1.424,181500,-57610,1786650751
11/18/2019,1.722,0.92015,0.90315,3122.03,12.46,1.435,#N/A,#N/A,937245821.1
11/15/2019,1.738,0.9195,0.9048,3120.46,12.05,1.447,#N/A,#N/A,189560977.5
11/14/2019,1.729,0.9223,0.9072,3096.63,13.05,1.431,#N/A,#N/A,1150644760
11/13/2019,1.76,0.9189,0.9085,3094.04,13,1.458,#N/A,#N/A,2065056855
11/12/2019,1.77,0.9173,0.90835,3091.84,12.68,1.471,184580,-56866,264462520.2
11/11/2019,1.784,0.91695,0.9064,3087.01,12.69,1.487,#N/A,#N/A,2391732056
11/8/2019,1.793,0.9151,0.90745,3093.08,12.07,1.492,#N/A,#N/A,372776088.6
11/7/2019,1.778,0.91505,0.90495,3085.18,12.73,1.482,#N/A,#N/A,2406312697
11/6/2019,1.748,0.91765,0.90375,3076.78,12.62,1.457,#N/A,#N/A,2368755196
11/5/2019,1.756,0.91615,0.90295,3074.62,13.1,1.47,173963,-55605,1688714881
11/4/2019,1.747,0.921,0.89865,3078.27,12.83,1.442,#N/A,#N/A,-215786879.2
11/1/2019,1.722,0.92435,0.8955,3066.91,12.3,1.421,#N/A,#N/A,4033101135
10/31/2019,1.696,0.92565,0.8967,3037.56,13.22,1.381,#N/A,#N/A,776845100
10/30/2019,1.75,0.91875,0.89685,3046.77,12.33,1.436,#N/A,#N/A,3090675488
10/29/2019,1.769,0.9184,0.89995,3036.89,13.2,1.453,168153,-49891,-138800673.1
10/28/2019,1.779,0.9178,0.9009,3039.42,13.11,1.461,#N/A,#N/A,2032343365
10/25/2019,1.763,0.9203,0.90255,3022.55,12.65,1.449,#N/A,#N/A,1010609075
10/24/2019,1.74,0.92065,0.90055,3010.29,13.71,1.42,#N/A,#N/A,-131938844
10/23/2019,1.754,0.92,0.89845,3004.52,14.01,1.429,#N/A,#N/A,3984079504
10/22/2019,1.742,0.9218,0.8989,2995.99,14.46,1.43,157555,-45408,-4001519833
10/21/2019,1.754,0.92075,0.89695,3006.72,14,1.459,#N/A,#N/A,1800166902
10/18/2019,1.754,0.92225,0.89515,2986.2,14.25,1.441,#N/A,#N/A,-2681973442
10/17/2019,1.776,0.92025,0.89895,2997.95,13.79,1.463,#N/A,#N/A,449277244.6
10/16/2019,1.77,0.91935,0.90315,2989.69,13.68,1.454,#N/A,#N/A,1391426837
10/15/2019,1.8,0.91865,0.90635,2995.68,13.54,1.496,152374,-44353,5690308428
10/14/2019,1.781,0.92245,0.9067,2966.15,14.57,1.466,#N/A,#N/A,-1386155478
10/11/2019,1.792,0.9224,0.90565,2970.27,15.58,1.47,#N/A,#N/A,2197706859
10/10/2019,1.745,0.92615,0.9086,2938.13,17.57,1.41,#N/A,#N/A,3308840905
10/9/2019,1.691,0.93045,0.9115,2919.4,18.64,1.362,#N/A,#N/A,1597711899
10/8/2019,1.662,0.93385,0.91275,2893.06,20.28,1.347,142099,-30724,-617616581.4
10/7/2019,1.691,0.932,0.9115,2938.79,17.86,1.366,#N/A,#N/A,-3292368153
10/4/2019,1.677,0.93505,0.9109,2952.01,17.04,1.337,#N/A,#N/A,3948981758
10/3/2019,1.652,0.93535,0.9119,2910.63,19.12,1.306,#N/A,#N/A,1722873393
10/2/2019,1.731,0.933,0.9125,2887.61,20.56,1.386,#N/A,#N/A,-2834529242
10/1/2019,1.782,0.92805,0.91475,2940.25,18.56,1.437,154266,-36857,-3509310490
